Id,Title,Description,Availability,Condition,Price,Sale_Price,Image_Link,Gtin,Product_Type,Brand,Link
HW-T420/ZF,Barra de Sonido HW-T420 Dolby Digital 2.1 Bluetooth (2020),,preorder,new,149.00 EUR,118.15 EUR,https://images.samsung.com/is/image/samsung/es-soundbar-hw-t420-hw-t420-zf-black-251150872?$ORIGIN_PNG$,8806090330179,Productos | TV/Audio | Audio/Video | Barras y Accesorios de Sonido | TV/Audio | Audio/Video | Barras y Accesorios de Sonido,Samsung,https://shop.samsung.com/es/Productos/TV-Audio/Audio-V%C3%ADdeo/Barras-y-Accesorios-de-Sonido/Barra-de-Sonido-HW-T420-Dolby-Digital-2-1-Bluetooth-%282020%29/p/HW-T420/ZF
HW-T400/ZF,Barra de Sonido HW-T400 Dolby Digital 2.0 Bluetooth (2020),,preorder,new,129.00 EUR,119.00 EUR,https://images.samsung.com/is/image/samsung/es-soundbar-hw-t400-hw-t400-zf-251126501?$ORIGIN_PNG$,8806090466649,Productos | TV/Audio | Audio/Video | Barras y Accesorios de Sonido | TV/Audio | Audio/Video | Barras y Accesorios de Sonido,Samsung,https://shop.samsung.com/es/TV-AUDIO/HA%3AHTS/Barra-de-Sonido-HW-T400-Dolby-Digital-2-0-Bluetooth-%282020%29/p/HW-T400/ZF
MUF-32AB/APC,USB FIT Gray Plus 32GB,Obt&eacute;n m&aacute;s espacio de forma compacta. Conecta el USB FIT Plus para tener un almacenamiento secundario para tus dispositivos y d&eacute;jalo puesto para llevar f&aacute;cilmente m&aacute;s archivos donde quiera que vayas. No estorba y tienes los archivos accesibles de forma fiable y r&aacute;pida con la velocidad de USB 3.1.,in stock,new,13.00 EUR,13.00 EUR,https://images.samsung.com/is/image/samsung/es-usb-3-1-flash-drive-fit-plus-muf-32ab-apc-frontblack-274582381?$ORIGIN_PNG$,8801643233501,Productos | Informatica | Almacenamiento | Informatica | Almacenamiento,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/FIT-Titan-Gray-Plus/p/MUF-32AB/APC
MUF-32BE4/APC,USB BAR Titan Gray Plus 32 GB,"Modernidad con un toque c&aacute;sico. La nueva generaci&oacute;n de Bar Plus mejora los pendrives de  uso diario, ofreciendo velocidad y dise&ntilde;o. Cuando lo sujetas, notas c&oacute;mo el cuerpo met&aacute;lico de una sola pieza es minimalista, combinando estilo, velocidad y fiabilidad.",in stock,new,13.00 EUR,13.00 EUR,https://images.samsung.com/is/image/samsung/es-usb-3-1-flash-drive-bar-plus-gray-muf-32be4-apc-fronttitaniumgray-274581874?$ORIGIN_PNG$,8801643233662,Productos | Informatica | Almacenamiento | Informatica | Almacenamiento,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-32BE4/APC
MZ-77Q1T0BW,SSD 870 QVO SATA III 1TB,"El 870 QVO es lo &uacute;ltimo de la segunda generaci&oacute;n de Samsung. El SSD QLC es el tipo de SSD de mayor capacidad, ya que proporciona hasta 8 TB de almacenamiento. Este disco, ofrece opciones incre&iacute;bles para los usuarios que quieren aumentar la memoria de su PC o port&aacute;til hasta el m&aacute;ximo disponible en el mercado, y sin comprometer el rendimiento.",out of stock,new,125.99 EUR,125.99 EUR,https://images.samsung.com/is/image/samsung/es-870-qvo-sata-3-2-5-ssd-mz-77q1t0bw-frontblack-277128276?$ORIGIN_PNG$,8806090396038,Productos | Informatica | Almacenamiento | Discos Solidos SSD | Informatica | Almacenamiento | Discos Solidos SSD,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q1T0BW
MZ-77Q2T0BW,SSD 870 QVO SATA III 2TB,"El 870 QVO es lo &uacute;ltimo de la segunda generaci&oacute;n de Samsung. El SSD QLC es el tipo de SSD de mayor capacidad, ya que proporciona hasta 8 TB de almacenamiento. Este disco, ofrece opciones incre&iacute;bles para los usuarios que quieren aumentar la memoria de su PC o port&aacute;til hasta el m&aacute;ximo disponible en el mercado, y sin comprometer el rendimiento.",in stock,new,230.99 EUR,230.99 EUR,https://images.samsung.com/is/image/samsung/es-870-qvo-sata-3-2-5-ssd-mz-77q2t0bw-frontblack-277128295?$ORIGIN_PNG$,8806090396007,Productos | Informatica | Almacenamiento | Discos Solidos SSD | Informatica | Almacenamiento | Discos Solidos SSD,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q2T0BW
DW50R4070FW/EC,Lavavajillas Clasificaci&oacute;n Energ&eacute;tica E Serie 5 de 10 cubiertos Blanco DW50R4070FW,"Evita las molestias de un lavavajillas ruidoso. El motor de acero inoxidable est&aacute; dise&ntilde;ado para reducir al m&aacute;ximo el ruido. Absorbe la mayor&iacute;a del sonido y la vibraci&oacute;n cuando est&aacute; en funcionamiento, haci&eacute;ndolo de una forma extremadamente silenciosa. Sus 44 decibelios se oyen m&aacute;s bajos que una conversaci&oacute;n normal.",preorder,new,499.00 EUR,430.59 EUR,https://images.samsung.com/is/image/samsung/es-dishwasher-dw50r4070fw-dw50r4070fw-ec-frontwhite-245800199?$ORIGIN_PNG$,8806090321009,Productos | Electrodomesticos | Lavavajillas | Lavavajillas Estandar | Electrodomesticos | Lavavajillas | Lavavajillas Estandar,Samsung,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Serie-5-de-10-cubiertos-Blanco-DW50R4070FW/p/DW50R4070FW/EC
MUF-128DB/APC,USB DUO Titan Gray Plus 128GB,Duplica la comodidad. La DUO Plus es una memoria tipo C con un &uacute;til adaptador tipo A. Trabaja sin complicaciones: el intuitivo adaptador tipo A integrado funciona con tus dispositivos antiguos. Su rendimiento y velocidad superiores te permiten mover tus datos y liberar espacio con total flexibilidad.,in stock,new,31.99 EUR,31.99 EUR,https://images.samsung.com/is/image/samsung/es-usb-titan-gray-plus-2018-muf-128db-apc-frontblack-274593330?$ORIGIN_PNG$,8801643233648,Productos | Informatica | Almacenamiento | Memorias USB  | Informatica | Almacenamiento | Memorias USB ,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Memoria-USB-Titan-Gray-Plus/p/MUF-128DB/APC
MUF-256BE4/APC,USB BAR Titan Gray Plus 256 GB,"Modernidad con un toque c&aacute;sico. La nueva generaci&oacute;n de Bar Plus mejora los pendrives de  uso diario, ofreciendo velocidad y dise&ntilde;o. Cuando lo sujetas, notas c&oacute;mo el cuerpo met&aacute;lico de una sola pieza es minimalista, combinando estilo, velocidad y fiabilidad.",in stock,new,45.99 EUR,45.99 EUR,https://images.samsung.com/is/image/samsung/es-usb-3-1-flash-drive-bar-plus-gray-muf-256be4-apc-fronttitaniumgray-274581857?$ORIGIN_PNG$,8801643230678,Productos | Informatica | Almacenamiento | Informatica | Almacenamiento,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-256BE4/APC
MZ-77Q4T0BW,SSD 870 QVO SATA III 4TB,"El 870 QVO es lo &uacute;ltimo de la segunda generaci&oacute;n de Samsung. El SSD QLC es el tipo de SSD de mayor capacidad, ya que proporciona hasta 8 TB de almacenamiento. Este disco, ofrece opciones incre&iacute;bles para los usuarios que quieren aumentar la memoria de su PC o port&aacute;til hasta el m&aacute;ximo disponible en el mercado, y sin comprometer el rendimiento.",out of stock,new,430.99 EUR,430.99 EUR,https://images.samsung.com/is/image/samsung/es-870-qvo-sata-3-2-5-ssd-mz-77q4t0bw-frontblack-277128314?$ORIGIN_PNG$,8806090396021,Productos | Informatica | Almacenamiento | Discos Solidos SSD | Informatica | Almacenamiento | Discos Solidos SSD,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q4T0BW
MUF-64AB/APC,USB FIT Gray Plus 64GB,Obt&eacute;n m&aacute;s espacio de forma compacta. Conecta el USB FIT Plus para tener un almacenamiento secundario para tus dispositivos y d&eacute;jalo puesto para llevar f&aacute;cilmente m&aacute;s archivos donde quiera que vayas. No estorba y tienes los archivos accesibles de forma fiable y r&aacute;pida con la velocidad de USB 3.1.,out of stock,new,15.98 EUR,15.98 EUR,https://images.samsung.com/is/image/samsung/es-usb-3-1-flash-drive-fit-plus-muf-64ab-apc-frontblack-274582396?$ORIGIN_PNG$,8801643233495,Productos | Informatica | Almacenamiento | Informatica | Almacenamiento,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/FIT-Titan-Gray-Plus/p/MUF-64AB/APC
MUF-256DB/APC,USB DUO Titan Gray Plus 256GB,Duplica la comodidad. La DUO Plus es una memoria tipo C con un &uacute;til adaptador tipo A. Trabaja sin complicaciones: el intuitivo adaptador tipo A integrado funciona con tus dispositivos antiguos. Su rendimiento y velocidad superiores te permiten mover tus datos y liberar espacio con total flexibilidad.,in stock,new,49.99 EUR,49.99 EUR,https://images.samsung.com/is/image/samsung/es-usb-titan-gray-plus-2018-muf-256db-apc-frontblack-274593357?$ORIGIN_PNG$,8801643233655,Productos | Informatica | Almacenamiento | Memorias USB  | Informatica | Almacenamiento | Memorias USB ,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Memoria-USB-Titan-Gray-Plus/p/MUF-256DB/APC
MZ-77Q8T0BW,SSD 870 QVO SATA III 8TB,"El 870 QVO es lo &uacute;ltimo de la segunda generaci&oacute;n de Samsung. El SSD QLC es el tipo de SSD de mayor capacidad, ya que proporciona hasta 8 TB de almacenamiento. Este disco, ofrece opciones incre&iacute;bles para los usuarios que quieren aumentar la memoria de su PC o port&aacute;til hasta el m&aacute;ximo disponible en el mercado, y sin comprometer el rendimiento.",in stock,new,852.99 EUR,852.99 EUR,https://images.samsung.com/is/image/samsung/es-870-qvo-sata-3-2-5-ssd-mz-77q8t0bw-frontblack-277128333?$ORIGIN_PNG$,8806090396014,Productos | Informatica | Almacenamiento | Discos Solidos SSD | Informatica | Almacenamiento | Discos Solidos SSD,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q8T0BW
MUF-32DB/APC,USB DUO Titan Gray Plus 32GB,Duplica la comodidad. La DUO Plus es una memoria tipo C con un &uacute;til adaptador tipo A. Trabaja sin complicaciones: el intuitivo adaptador tipo A integrado funciona con tus dispositivos antiguos. Su rendimiento y velocidad superiores te permiten mover tus datos y liberar espacio con total flexibilidad.,out of stock,new,18.98 EUR,18.98 EUR,https://images.samsung.com/is/image/samsung/es-usb-titan-gray-plus-2018-muf-32db-apc-frontblack-274593384?$ORIGIN_PNG$,8801643233679,Productos | Informatica | Almacenamiento | Memorias USB  | Informatica | Almacenamiento | Memorias USB ,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Memoria-USB-Titan-Gray-Plus/p/MUF-32DB/APC
MUF-64BE4/APC,USB BAR Titan Gray Plus 64 GB,"Modernidad con un toque c&aacute;sico. La nueva generaci&oacute;n de Bar Plus mejora los pendrives de  uso diario, ofreciendo velocidad y dise&ntilde;o. Cuando lo sujetas, notas c&oacute;mo el cuerpo met&aacute;lico de una sola pieza es minimalista, combinando estilo, velocidad y fiabilidad.",in stock,new,15.98 EUR,15.98 EUR,https://images.samsung.com/is/image/samsung/es-usb-3-1-flash-drive-bar-plus-gray-muf-64be4-apc-fronttitaniumgray-274581887?$ORIGIN_PNG$,8801643230739,Productos | Informatica | Almacenamiento | Informatica | Almacenamiento,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-64BE4/APC
MUF-256AB/APC,USB FIT Gray Plus 256GB,Obt&eacute;n m&aacute;s espacio de forma compacta. Conecta el USB FIT Plus para tener un almacenamiento secundario para tus dispositivos y d&eacute;jalo puesto para llevar f&aacute;cilmente m&aacute;s archivos donde quiera que vayas. No estorba y tienes los archivos accesibles de forma fiable y r&aacute;pida con la velocidad de USB 3.1.,in stock,new,45.99 EUR,45.99 EUR,https://images.samsung.com/is/image/samsung/es-usb-3-1-flash-drive-fit-plus-muf-256ab-apc-frontblack-274582366?$ORIGIN_PNG$,8801643233563,Productos | Informatica | Almacenamiento | Informatica | Almacenamiento,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/FIT-Titan-Gray-Plus/p/MUF-256AB/APC
MUF-128BE4/APC,USB BAR Titan Gray Plus 128 GB,"Modernidad con un toque c&aacute;sico. La nueva generaci&oacute;n de Bar Plus mejora los pendrives de  uso diario, ofreciendo velocidad y dise&ntilde;o. Cuando lo sujetas, notas c&oacute;mo el cuerpo met&aacute;lico de una sola pieza es minimalista, combinando estilo, velocidad y fiabilidad.",in stock,new,25.99 EUR,25.99 EUR,https://images.samsung.com/is/image/samsung/es-usb-3-1-flash-drive-bar-plus-gray-muf-128be4-apc-fronttitaniumgray-274581844?$ORIGIN_PNG$,8801643230692,Productos | Informatica | Almacenamiento | Informatica | Almacenamiento,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-128BE4/APC
NZ63R3727BK/UR,Placa de Inducci&oacute;n 3 Fuegos NZ63R3727BK,El control intuitivo de la placa NZ63R3727BK permite controlar la temperatura de una manera r&aacute;pida y precisa. Desliza tu dedo por el panel de control LED para encender la placa o modificar la temperatura de cada zona.,in stock,new,469.00 EUR,382.22 EUR,https://images.samsung.com/is/image/samsung/es-cooktop-nz63r3727bk-nz63r3727bk-ur-frontblack-255624559?$ORIGIN_PNG$,8806090091308,Productos | Electrodomesticos | Cocina | Vitroceramicas | Electrodomesticos | Cocina | Vitroceramicas,Samsung,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/MWO%3AMicroWaveOven/Placa-de-Inducci%C3%B3n-3-Fuegos-NZ63R3727BK/p/NZ63R3727BK/UR
SM-P610NZAEPHE,"Galaxy Tab S6 Lite (10.4&quot;, Wi-Fi) con S Pen",,in stock,new,439.00 EUR,339.00 EUR,https://images.samsung.com/is/image/samsung/es-galaxy-tab-s6-lite-p610-sm-p610nzaephe-frontwithspengray-254739193?$ORIGIN_PNG$,8806090647932,Productos | Tablets | Galaxy Tab S | Tablets | Galaxy Tab S | Productos | Mobile | Tablets | Galaxy Tab S,Samsung,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S6-Lite-%2810-4%22%2C-Wi-Fi%29-con-S-Pen/p/SM-P610NZAEPHE
SM-P615NZAEPHE,"Galaxy Tab S6 Lite (10.4&quot;, 4G) con S Pen",Haz mucho m&aacute;s que escuchar m&uacute;sica. Disfruta de Spotify en tu dispositivo Galaxy. Sal de la cama con tu propia banda sonora personal. Incluso puedes hacer una b&uacute;squeda r&aacute;pida de canciones directamente desde la ventana de Finder. Ahora puedes sintonizar tu lista de reproducci&oacute;n de mil maneras con Spotify en Galaxy.,out of stock,new,489.00 EUR,389.00 EUR,https://images.samsung.com/is/image/samsung/es-galaxy-tab-s6-lite-p615-sm-p615nzaephe-frontwithspengray-254726517?$ORIGIN_PNG$,8806090647802,Productos | Tablets | Galaxy Tab S | Tablets | Galaxy Tab S | Productos | Mobile | Tablets | Galaxy Tab S,Samsung,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S6-Lite-%2810-4%22%2C-4G%29-con-S-Pen/p/SM-P615NZAEPHE
NV75N5671RS/EC,Horno Pirol&iacute;tico Dual Cook Flex 75L NV75N5671RS,"Disfruta de todo un mundo de posibilidades y cocina distintas recetas gracias a la puerta flexible. Abre la puerta superior para cocinar peque&ntilde;os platos en la zona de arriba del horno. Cuando uses las dos zonas, puedes acceder f&aacute;cilmente a la parte superior sin p&eacute;rdida de calor en la inferior. Cuando uses toda la cavidad del horno, abre la puerta entera.",in stock,new,779.00 EUR,779.00 EUR,https://images.samsung.com/is/image/samsung/es-oven-nv75n5671rs-nv75n5671rs-ec-frontsilver-255286184?$ORIGIN_PNG$,8801643818616,Productos | Electrodomesticos | Hornos - Microondas | Electrodomesticos | Hornos - Microondas | Productos | Electrodomesticos | Cocina | Hornos - Microondas | Electrodomesticos | Cocina | Hornos - Microondas,Samsung,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/MWO%3AMicroWaveOven/Horno-Pirol%C3%ADtico-Dual-Cook-Flex-75L-NV75N5671RS/p/NV75N5671RS/EC
MB-MC512HA/EU,EVO Plus Tarjeta microSD 512GB,"Te presentamos las tarjetas de memoria con mayor capacidad y velocidad de lectura de su clase, id&oacute;neas para v&iacute;deos 4K UHD. Mant&eacute;n tus recuerdos siempre a salvo con el rendimiento y fiabilidad de las tarjetas EVO Plus. ",out of stock,new,132.99 EUR,132.99 EUR,https://images.samsung.com/is/image/samsung/es-evo-plus-microsd-with-adapter-mb-mc128gaeu-mb-mc512ha-eu-frontred-274556240?$ORIGIN_PNG$,8806090168345,Productos | Informatica | Almacenamiento | Tarjetas de memoria | Informatica | Almacenamiento | Tarjetas de memoria,Samsung,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Tarjetas-de-memoria/EVO-Plus-Tarjeta-microSD-32GB/p/MB-MC512HA/EU
MB-MC128HA/EU,EVO Plus Tarjeta microSD 128GB,"Te presentamos las tarjetas de memoria con mayor capacidad y velocidad de lectura de su clase, id&oacute;neas para v&iacute;deos 4K UHD. Mant&eacute;n tus recuerdos siempre a salvo con el rendimiento y fiabilidad de las tarjetas EVO Plus. ",out of stock,new,27.00 EUR,27.00 EUR,https://images.samsung.com/is/image/samsung/es-evo-plus-microsd-with-adapter-mb-mc128gaeu-mb-mc128ha-eu-frontred-274556206?$ORIGIN_PNG$,8806090168369,Productos | Informatica | Almacenamiento | Tarjetas de memoria | Informatica | Almacenamiento | Tarjetas de memoria,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/EVO-Plus-Tarjeta-microSD/p/MB-MC128HA/EU
MB-MC256HA/EU,EVO Plus Tarjeta microSD 256GB,"Te presentamos las tarjetas de memoria con mayor capacidad y velocidad de lectura de su clase, id&oacute;neas para v&iacute;deos 4K UHD. Mant&eacute;n tus recuerdos siempre a salvo con el rendimiento y fiabilidad de las tarjetas EVO Plus. ",out of stock,new,52.99 EUR,52.99 EUR,https://images.samsung.com/is/image/samsung/es-evo-plus-microsd-with-adapter-mb-mc128gaeu-mb-mc256ha-eu-frontred-274556223?$ORIGIN_PNG$,8806090168352,Productos | Informatica | Almacenamiento | Tarjetas de memoria | Informatica | Almacenamiento | Tarjetas de memoria,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/EVO-Plus-Tarjeta-microSD/p/MB-MC256HA/EU
MB-MC64HA/EU,EVO Plus Tarjeta microSD 64GB,"Te presentamos las tarjetas de memoria con mayor capacidad y velocidad de lectura de su clase, id&oacute;neas para v&iacute;deos 4K UHD. Mant&eacute;n tus recuerdos siempre a salvo con el rendimiento y fiabilidad de las tarjetas EVO Plus. ",out of stock,new,15.98 EUR,15.98 EUR,https://images.samsung.com/is/image/samsung/es-evo-plus-microsd-with-adapter-mb-mc128gaeu-mb-mc64ha-eu-frontred-266878617?$ORIGIN_PNG$,8806090168376,Productos | Informatica | Almacenamiento | Tarjetas de memoria | Informatica | Almacenamiento | Tarjetas de memoria,Samsung,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/EVO-Plus-Tarjeta-microSD/p/MB-MC64HA/EU
SM-N980FZAGEUB,Galaxy Note20,"Un dise&ntilde;o minimalista que representa un cuerpo met&aacute;lico compuesto de detalles exquisitos y colores trascendentes. Dise&ntilde;ado de forma elegante para que encaje en tu mano a la perfecci&oacute;n, con una pantalla de 6,7&amp;quot; y complementado con un S Pen a juego.",out of stock,new,959.00 EUR,959.00 EUR,https://images.samsung.com/is/image/samsung/es-galaxy-note20-n980-sm-n980fzageub-frontmysticgray-282458517?$ORIGIN_PNG$,8806090596537,Productos | Smartphones | Galaxy Note20 Series | Smartphones | Galaxy Note20 Series | Productos | Mobile | Smartphones | Galaxy Note20 Series,Samsung,https://shop.samsung.com/es/Productos/Smartphones/Galaxy-Note20-Series/Galaxy-Note20/p/SM-N980FZAGEUB
SM-R840NZKAEUB,Galaxy Watch3 Bluetooth (45mm),,in stock,new,419.89 EUR,419.89 EUR,https://images.samsung.com/is/image/samsung/es/galaxy-note20/gallery/es-galaxy-watch3-r840-sm-r840nzkaeub-frontmysticblack-274655612?$ORIGIN_PNG$,8806090537912,Productos | Wearables | Galaxy Watch  | Wearables | Galaxy Watch  | Productos | Mobile | Wearables | Galaxy Watch ,Samsung,https://shop.samsung.com/es/Productos/Wearables/Galaxy-Watch/Galaxy-Watch3-Bluetooth-%2845mm%29/p/SM-R840NZKAEUB
SM-R850NZDAEUB,Galaxy Watch3 Bluetooth (41mm),,out of stock,new,389.90 EUR,389.90 EUR,https://images.samsung.com/is/image/samsung/es/galaxy-note20/gallery/es-galaxy-watch3-r850-sm-r850nzdaeub-frontmysticbronze-274975595?$ORIGIN_PNG$,8806090540059,Productos | Wearables | Galaxy Watch  | Wearables | Galaxy Watch  | Productos | Mobile | Wearables | Galaxy Watch ,Samsung,https://shop.samsung.com/es/Productos/Wearables/Galaxy-Watch/Galaxy-Watch3-Bluetooth-%2841mm%29/p/SM-R850NZDAEUB
EJ-PT870BSEGEU,S Pen Galaxy Tab S7,"Completamente redise&ntilde;ado para obtener un agarre s&oacute;lido y c&oacute;modo, el S Pen tiene tambi&eacute;n una latencia ultrabaja para que haya el m&iacute;nimo retraso entre tus pensamiento y tus acciones . Es el mayor salto del S Pen en cuanto a capacidad de respuesta, ofreci&eacute;ndote una experiencia de escritura totalmente real. Cuando acabes de usarlo, p&eacute;galo magn&eacute;ticamente a la parte posterior de la Tab.",out of stock,new,59.90 EUR,59.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/es/ej-pt870bsegeu/gallery/es-galaxy-tab-s7-s-pen-ej-pt870bsegeu-358725755?$ORIGIN_PNG$,8806090639517,Productos | Accesorios | Accesorios tablets | S Pen Tablets | Accesorios | Accesorios tablets | S Pen Tablets,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-tablets/S-Pen-Tablets/S-Pen-Galaxy-Tab-S7/p/EJ-PT870BSEGEU
SM-T976BZKAEUB,"Galaxy Tab S7+ (12.4&rdquo;, 5G) con S Pen","Descubre Galaxy Tab S7 y S7+. Trabaja y juega en la pantalla ultrafluida de 120Hz, impulsada por nuestro chipset m&aacute;s potente. Col&oacute;cale un teclado y la usar&aacute;s como un ordenador, o utiliza el S Pen de latencia ultrabaja para escribir como nunca. Cambia la forma de trabajar y jugar.",in stock,new,1099.00 EUR,879.00 EUR,https://images.samsung.com/is/image/samsung/es-galaxy-tab-s7-plus-5g-t976-sm-t976bzkaeub--Black-295505316?$ORIGIN_PNG$,8806090613357,Productos | Tablets | Galaxy Tab S | Tablets | Galaxy Tab S | Productos | Mobile | Tablets | Galaxy Tab S,Samsung,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S7%2B-%2812-4%E2%80%9D%2C-5G%29-con-S-Pen/p/SM-T976BZKAEUB
EJ-PT870BBEGEU,S Pen Galaxy Tab S7,"Completamente redise&ntilde;ado para obtener un agarre s&oacute;lido y c&oacute;modo, el S Pen tiene tambi&eacute;n una latencia ultrabaja para que haya el m&iacute;nimo retraso entre tus pensamiento y tus acciones . Es el mayor salto del S Pen en cuanto a capacidad de respuesta, ofreci&eacute;ndote una experiencia de escritura totalmente real. Cuando acabes de usarlo, p&eacute;galo magn&eacute;ticamente a la parte posterior de la Tab.",preorder,new,59.90 EUR,59.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/es/ej-pt870bbegeu/gallery/es-galaxy-tab-s7-s-pen-ej-pt870bbegeu-358725744?$ORIGIN_PNG$,8806090639524,Productos | Accesorios | Accesorios tablets | S Pen Tablets | Accesorios | Accesorios tablets | S Pen Tablets,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-tablets/S-Pen-Tablets/S-Pen-Galaxy-Tab-S7/p/EJ-PT870BBEGEU
SM-T875NZKAEUB,"Galaxy Tab S7 (11.0&quot;, 4G) con S Pen",,in stock,new,799.00 EUR,799.00 EUR,https://images.samsung.com/is/image/samsung/es-galaxy-tab-s7-4g-t875-sm-t875nzkaeub--Mistic-Black-295505377?$ORIGIN_PNG$,8806090627811,Productos | Tablets | Galaxy Tab S | Tablets | Galaxy Tab S | Productos | Mobile | Tablets | Galaxy Tab S,Samsung,https://shop.samsung.com/es/Productos/Tablets/Galaxy-Tab-S/Galaxy-Tab-S7-%2811-0%22%2C-4G%29-con-S-Pen/p/SM-T875NZKAEUB
SM-R180NZWAEUB,Galaxy Buds Live,Sonido hecho para tus o&iacute;dos,in stock,new,179.90 EUR,179.90 EUR,https://images.samsung.com/is/image/samsung/es/galaxy-note20/gallery/es-galaxy-buds-live-r180-sm-r180nzwaeub-frontmysticwhite-275602721?$ORIGIN_PNG$,8806090486036,Productos | Wearables | Galaxy Buds | Wearables | Galaxy Buds | Productos | Mobile | Wearables | Galaxy Buds,Samsung,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Galaxy-Buds-Live/p/SM-R180NZWAEUB
EP-N3300TBEGEU,Wireless Charger Convertible (2020),"Con el pie magn&eacute;tico desmontable, puedes utilizar el Wireless Charger Convertible como almohadilla o como soporte. Coloca tu tel&eacute;fono en posici&oacute;n vertical para seguir mir&aacute;ndolo mientras se carga, o ap&oacute;yalo en horizontal para dejarlo descansar.",in stock,new,59.90 EUR,59.90 EUR,https://images.samsung.com/is/image/samsung/es-wireless-charger-convertible-ep-n3300tbegeu-frontblack-316141611?$ORIGIN_PNG$,8806090499173,Productos | Accesorios | Accesorios smartphones | Cargadores y Baterias | Accesorios | Accesorios smartphones | Cargadores y Baterias,Samsung,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Wireless-Charger-Convertible-%282020%29/p/EP-N3300TBEGEU
EP-N3300TWEGEU,Wireless Charger Convertible (2020),"Con el pie magn&eacute;tico desmontable, puedes utilizar el Wireless Charger Convertible como almohadilla o como soporte. Coloca tu tel&eacute;fono en posici&oacute;n vertical para seguir mir&aacute;ndolo mientras se carga, o ap&oacute;yalo en horizontal para dejarlo descansar.",in stock,new,59.90 EUR,59.90 EUR,https://images.samsung.com/is/image/samsung/es-wireless-charger-convertible-ep-n3300twegeu-frontwhite-316141624?$ORIGIN_PNG$,8806090499166,Productos | Accesorios | Accesorios smartphones | Cargadores y Baterias | Accesorios | Accesorios smartphones | Cargadores y Baterias,Samsung,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Wireless-Charger-Convertible-%282020%29/p/EP-N3300TWEGEU
SM-G781BZBDEUB,Galaxy S20 FE 5G,"Si buscas un m&oacute;vil que refleje por completo tu estilo, elige un color de bisagra personalizado que complemente o contraste los suaves tonos del Galaxy Z Fold2.
",in stock,new,659.00 EUR,649.00 EUR,https://images.samsung.com/is/image/samsung/es-galaxy-s20-fe-5g-g781-sm-g781bzbdeub-frontcloudnavy-303584257?$ORIGIN_PNG$,8806090709753,Productos | Smartphones | Galaxy S20 Series | Smartphones | Galaxy S20 Series | Productos | Mobile | Smartphones | Galaxy S20 Series,Samsung,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Galaxy-S20-FE-5G/p/SM-G781BZBDEUB
